customer_id,age,income,credit_score,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,annual_income,loan_status
3ac6fe3a-504a-4746-9786-0eab8063c437,56,24706.85,701,0.133,4,16098.42,business,rent,24706.85,approved
fb788e23-b821-42c3-9b72-339c471230ec,50,39442.38,674,0.019,5,3947.74,debt_consolidation,rent,39442.38,approved
333349b5-94a1-45fc-b27f-04731ac9f3b2,68,25144.99,841,0.014,5,21012.87,education,own,25144.99,approved
cb9c33b8-aab2-4091-8529-71f84ef5172f,21,22178.59,671,0.247,5,10499.86,personal,rent,22178.59,approved
95186938-44b8-481f-b3c2-8bdc23942715,24,9769.56,513,0.282,7,28566.91,debt_consolidation,rent,9769.56,approved
a13fa81a-d42b-4913-8043-851142ee29b7,52,121608.42,686,0.06,2,17510.31,personal,other,121608.42,approved
7b244d32-409d-4de5-b1b1-79a6aeb274fa,78,68355.19,651,0.201,2,27786.95,business,other,68355.19,approved
d8bf0c13-e13a-49f4-9225-8915e49c0018,47,45712.44,615,0.184,1,10887.69,debt_consolidation,mortgage,45712.44,approved
a0672063-a187-40aa-a682-58b3786f4d4e,23,5661.12,684,0.137,7,5664.5,personal,own,5661.12,approved
dee7d6ce-684c-4bad-bb46-61d8ec414b86,19,18127.58,605,0.093,4,31339.51,education,other,18127.58,approved
edf5f5b2-8d14-4da0-a323-2484e5eab545,22,97114.28,789,0.082,2,3864.04,business,rent,97114.28,approved
02c41d0e-ea5d-4f12-8ee8-aee51971fe09,50,38100.93,692,0.21,5,29744.17,personal,mortgage,38100.93,approved
a17c6f8c-8805-4704-8a1a-85a56cbaa57d,36,40404.43,702,0.152,3,35371.32,debt_consolidation,rent,40404.43,approved
e043ed50-6c83-4f78-b0ff-9759b92097f8,46,18219.23,540,0.091,7,9831.45,education,rent,18219.23,approved
c2fb9106-32f4-4627-b096-52d6aebb5e98,68,44076.57,732,0.099,3,5671.94,auto,own,44076.57,denied
929d2e7e-a12f-4aa5-9cbb-f0a916053fb6,70,50905.73,682,0.17,3,2820.35,debt_consolidation,other,50905.73,approved
3f2ab8e8-71cc-4ce9-9991-b1b8496829e9,35,59699.35,659,0.129,8,20171.54,auto,other,59699.35,denied
06dcb573-f3d9-4057-8a0f-5cc99a596644,75,52033.87,594,0.143,6,9628.41,education,mortgage,52033.87,approved
88de0f7e-3e35-409e-beb0-ff167e0d4ee5,77,71430.08,598,0.279,5,4692.26,home_improvement,rent,71430.08,approved
14c64eff-ea66-4ee6-86cd-77e5e93e1398,43,9014.42,572,0.34,8,7921.51,auto,own,9014.42,approved
